Time(s),F69-1-AnoChasing,F69-2-AnoMutual,F69-3-AnoMutual,F69-4-N-N,F69-5-Body,H25-1-Body/Ano,H25-2-N-N,H25-3-N-N,H25-4-N-N,H25-5-N-N,H28-1-N-N,H28-2-N-N,H28-3-Ano,H28-4-Ano/Body,H28-5-N-N,H82-1-AnoMutual,H82-2-N-N/AnoChasing,H82-3-N-N,H82-4-BodyMutual,H82-5-N-N
-9.23,0.106268892,0.10273592,0.126941822,-0.014196571,0.195164717,0.153791349,-0.148685683,0.016871212,0.115096966*,-0.046324491,0.010151,-0.247,0.093771,-0.08846,-0.04684,-0.2337,0.035387,-0.00853,-0.02603,0.077582
-9.22,0.103892892,0.10096492,0.127262822,-0.011635571,0.193557717,0.151947349,-0.148605683,0.015374212,0.114891966*,-0.046940491,0.00998,-0.24613,0.09368,-0.08887,-0.04815,-0.23359,0.035194,-0.00857,-0.02514,0.077925
-9.21,0.101503892,0.09918192,0.127556822,-0.009091571,0.191915717,0.150075349,-0.148492683,0.013897212,0.114657966*,-0.047562491,0.009819,-0.24525,0.093554,-0.08927,-0.04946,-0.23344,0.034998,-0.0086,-0.02424,0.078273
-9.2,0.099104892,0.09738592,0.127822822,-0.006563571,0.190239717,0.148175349,-0.148347683,0.012440212,0.114395966*,-0.048192491,0.009667,-0.24434,0.093394,-0.08964,-0.05076,-0.23327,0.0348,-0.00861,-0.02334,0.078626
-9.19,0.096694892,0.09557892,0.128060822,-0.004053571,0.188529717,0.146246349,-0.148170683,0.011004212,0.114103966*,-0.048827491,0.009526,-0.24342,0.093201,-0.09,-0.05204,-0.23307,0.034599,-0.00861,-0.02243,0.078983
-9.18,0.094273892,0.09375992,0.128269822,-0.001560571,0.186786717,0.144289349,-0.147961683,0.009589212,0.113783966*,-0.049469491,0.009393,-0.24249,0.092973,-0.09034,-0.05332,-0.23283,0.034397,-0.0086,-0.02152,0.079345
-9.17,0.091842892,0.09193092,0.128450822,0.000913429,0.185010717,0.142304349,-0.147720683,0.008195212,0.113434966*,-0.050117491,0.00927,-0.24153,0.092713,-0.09065,-0.05458,-0.23257,0.034192,-0.00857,-0.0206,0.079711
-9.16,0.089402892,0.09009092,0.128602822,0.003369429,0.183201717,0.140291349,-0.147447683,0.006821212,0.113056966*,-0.050771491,0.009156,-0.24056,0.092419,-0.09095,-0.05583,-0.23228,0.033986,-0.00853,-0.01967,0.080081
-9.15,0.086952892,0.08824092,0.128725822,0.005804429,0.181360717,0.138251349,-0.147144683,0.005469212,0.112650966*,-0.051430491,0.009052,-0.23957,0.092092,-0.09122,-0.05706,-0.23196,0.033777,-0.00848,-0.01874,0.080456
-9.14,0.084495892,0.08638092,0.128819822,0.008220429,0.179488717,0.136183349,-0.146809683,0.004138212,0.112216966*,-0.052095491,0.008956,-0.23857,0.091733,-0.09148,-0.05829,-0.23161,0.033567,-0.00841,-0.0178,0.080836
